page,query,clicks,impressions,ctr,position
https://example.invalid/autofotografie.html,autofotografie,2,40,5%,11.2
https://example.invalid/autofotografie.html,fahrzeug fotografieren,1,20,5%,13.1
https://example.invalid/fahrzeugfotografie.html,fahrzeug fotografieren,3,50,6%,9.4
https://example.invalid/fahrzeugfotografie.html,fahrzeugfotografie,2,30,6.67%,10.8
https://example.invalid/fotoshooting-mit-auto.html,fotoshooting mit auto,4,70,5.71%,8.9
https://example.invalid/sportwagen-shooting-duesseldorf.html,sportwagen shooting duesseldorf,2,25,8%,7.1
https://example.invalid/sportwagen-fotoshooting-duesseldorf.html,sportwagen shooting duesseldorf,1,18,5.56%,9.2
https://example.invalid/sportwagen-fotoshooting-duesseldorf.html,sportwagen fotoshooting duesseldorf,2,33,6.06%,8.4
https://example.invalid/motorrad-fotografie.html,motorrad fotografie,3,45,6.67%,10.2
https://example.invalid/bike-fotografie.html,bike fotografie,1,15,6.67%,12.5
https://example.invalid/landschaftsfotografie-ratingen.html,landschaftsfotografie ratingen,1,12,8.33%,9.8
https://example.invalid/landschaftsfotografie-erkrath.html,landschaftsfotografie erkrath,1,10,10%,8.6
